15:16:16.482 [main] INFO  com.ordint.tcpears.server.TCPServer - Starting server....
15:16:16.534 [main] INFO  com.ordint.tcpears.server.TCPServer - Listening on port 5011
15:16:16.722 [main] INFO  com.ordint.tcpears.server.TCPServer - Listening on port 5012
15:16:16.722 [main] INFO  com.ordint.tcpears.server.TCPServer - Listening on port 5013
15:16:16.723 [main] INFO  com.ordint.tcpears.server.TCPServer - Listening on port 5014
15:16:16.723 [main] INFO  com.ordint.tcpears.server.TCPServer - Listening on port 5015
15:16:16.723 [main] INFO  com.ordint.tcpears.server.TCPServer - Listening on port 5016
15:16:16.724 [main] INFO  com.ordint.tcpears.server.TCPServer - Listening on port 5017
15:16:16.724 [main] INFO  com.ordint.tcpears.server.TCPServer - Listening on port 5018
15:16:16.724 [main] INFO  com.ordint.tcpears.server.TCPServer - Listening on port 5019
15:16:16.725 [main] INFO  com.ordint.tcpears.server.TCPServer - Listening on port 5020
15:16:16.725 [main] INFO  com.ordint.tcpears.server.TCPServer - Admin rest server listening on 6013
